      Sub      image     Region    pcs_Peak pcs_ContrastSum   pcs_bmean       Voxel      Mean       Std       RMS    Trimmean      90ile      %Vox>1%      AbsMax
      S04       con_0014       inner      NaN       NaN       NaN    45.9770   -0.1059    0.1620    0.1935   -0.0974    0.1560    0.0000    1.3505
      S04       con_0014       outer      NaN       NaN       NaN    13.2840   -0.1963    0.2407    0.3106   -0.1827    0.2168    0.0000    4.1734
      S04       con_0015       total   0.1900    5.0000  164.5084    59.2610    0.1101    0.1569    0.1917    0.1029    0.1945    0.0776    1.7980
      S04       con_0015       inner      NaN       NaN       NaN    45.9770    0.0985    0.1416    0.1725    0.0926    0.1813    0.0261    1.3779
      S04       con_0015       outer      NaN       NaN       NaN    13.2840    0.1501    0.1960    0.2469    0.1425    0.2423    0.2559    1.7980
      S04       con_0016       total   0.1900    5.0000  164.5084    59.2610    0.0342    0.1864    0.1895    0.0319    0.1933    0.1637    2.4368
      S04       con_0016       inner      NaN       NaN       NaN    45.9770    0.0321    0.1591    0.1623    0.0293    0.1779    0.0740    2.0696
      S04       con_0016       outer      NaN       NaN       NaN    13.2840    0.0416    0.2595    0.2628    0.0419    0.2585    0.4743    2.4368
      S04       con_0017       total   0.1900    5.0000  164.5084    59.2610    0.2192    0.3648    0.4256    0.2027    0.4292    2.7337    8.7669
      S04       con_0017       inner      NaN       NaN       NaN    45.9770    0.1780    0.3057    0.3537    0.1664    0.3828    1.4855    3.5785
      S04       con_0017       outer      NaN       NaN       NaN    13.2840    0.3617    0.4941    0.6123    0.3420    0.5334    7.0536    8.7669
      S04       con_0018       total   0.1900    5.0000  164.5084    59.2610   -0.0925    0.1820    0.2041   -0.0867    0.1776    0.0422    4.1236
      S04       con_0018       inner      NaN       NaN       NaN    45.9770   -0.0730    0.1547    0.1711   -0.0695    0.1652    0.0000    2.4013
      S04       con_0018       outer      NaN       NaN       NaN    13.2840   -0.1601    0.2428    0.2908   -0.1536    0.2233    0.1882    4.1236
      S04          ResMS       total   0.1900    5.0000  164.5084    59.2610    0.5310    0.2630    0.5926    0.4998    0.3002    4.5072    6.1373
      S04          ResMS       inner      NaN       NaN       NaN    45.9770    0.4887    0.1977    0.5271    0.4669    0.2409    2.1685    5.4508
      S04          ResMS       outer      NaN       NaN       NaN    13.2840    0.6777    0.3816    0.7777    0.6349    0.4410   12.6016    6.1373
      S05       con_0001       total   0.2000    5.0000  161.0240    59.3960    0.0275    0.1660    0.1682    0.0241    0.1892    0.1061    2.0452
      S05       con_0001       inner      NaN       NaN       NaN    46.1890    0.0279    0.1558    0.1583    0.0249    0.1815    0.0671    1.7155
      S05       con_0001       outer      NaN       NaN       NaN    13.2070    0.0258    0.1974    0.1991    0.0212    0.2170    0.2423    2.0452
      S05       con_0002       total   0.2000    5.0000  161.0240    59.3960    0.0156    0.1371    0.1380    0.0143    0.1546    0.0118    1.2869
      S05       con_0002       inner      NaN       NaN       NaN    46.1890    0.0153    0.1262    0.1271    0.0148    0.1436    0.0022    1.1921
      S05       con_0002       outer      NaN       NaN       NaN    13.2070    0.0165    0.1699    0.1707    0.0131    0.2002    0.0454    1.2869
      S05       con_0003       total   0.2000    5.0000  161.0240    59.3960   -0.0016    0.1586    0.1586   -0.0041    0.1762    0.0219    1.3169
      S05       con_0003       inner      NaN       NaN       NaN    46.1890   -0.0017    0.1459    0.1459   -0.0028    0.1614    0.0173    1.2954
      S05       con_0003       outer      NaN       NaN       NaN    13.2070   -0.0015    0.1966    0.1966   -0.0066    0.2434    0.0379    1.3169
      S05       con_0004       total   0.2000    5.0000  161.0240    59.3960    0.0685    0.2456    0.2550    0.0525    0.2806    0.7846    3.9168
      S05       con_0004       inner      NaN       NaN       NaN    46.1890    0.0715    0.2238    0.2349    0.0565    0.2647    0.5867    2.7985
      S05       con_0004       outer      NaN       NaN       NaN    13.2070    0.0578    0.3098    0.3152    0.0368    0.3565    1.4765    3.9168
      S05       con_0005       total   0.2000    5.0000  161.0240    59.3960    0.0274    0.2103    0.2121    0.0198    0.2228    0.3435    3.0361
      S05       con_0005       inner      NaN       NaN       NaN    46.1890    0.0362    0.1833    0.1869    0.0278    0.2055    0.2187    2.1522
      S05       con_0005       outer      NaN       NaN       NaN    13.2070   -0.0031    0.2831    0.2831   -0.0144    0.3038    0.7799    3.0361
      S05       con_0006       total   0.2000    5.0000  161.0240    59.3960   -0.0007    0.1964    0.1964    0.0030    0.2053    0.0572    2.1022
      S05       con_0006       inner      NaN       NaN       NaN    46.1890   -0.0146    0.1793    0.1798   -0.0087    0.1834    0.0130    1.5539
      S05       con_0006       outer      NaN       NaN       NaN    13.2070    0.0476    0.2412    0.2459    0.0499    0.2680    0.2120    2.1022
      S05       con_0007       total   0.2000    5.0000  161.0240    59.3960   -0.0410    0.1952    0.1995   -0.0323    0.1896    0.0051    1.8716
      S05       con_0007       inner      NaN       NaN       NaN    46.1890   -0.0436    0.1725    0.1779   -0.0364    0.1699    0.0022    1.6306
      S05       con_0007       outer      NaN       NaN       NaN    13.2070   -0.0321    0.2592    0.2612   -0.0171    0.2590    0.0151    1.8716
      S05       con_0008       total   0.2000    5.0000  161.0240    59.3960   -0.0119    0.1835    0.1838   -0.0076    0.1936    0.0017    1.7492
      S05       con_0008       inner      NaN       NaN       NaN    46.1890   -0.0209    0.1638    0.1651   -0.0155    0.1683    0.0000    1.5098
      S05       con_0008       outer      NaN       NaN       NaN    13.2070    0.0197    0.2372    0.2380    0.0260    0.2732    0.0076    1.7492
      S05       con_0009       total   0.2000    5.0000  161.0240    59.3960   -0.0265    0.1799    0.1818   -0.0197    0.1799    0.0051    1.8104
      S05       con_0009       inner      NaN       NaN       NaN    46.1890   -0.0322    0.1596    0.1628   -0.0258    0.1580    0.0022    1.4493
      S05       con_0009       outer      NaN       NaN       NaN    13.2070   -0.0062    0.2365    0.2366    0.0048    0.2499    0.0151    1.8104
      S05       con_0010       total   0.2000    5.0000  161.0240    59.3960   -0.0009    0.2787    0.2787   -0.0030    0.3072    0.5017    2.2885
      S05       con_0010       inner      NaN       NaN       NaN    46.1890    0.0129    0.2603    0.2606    0.0108    0.2906    0.4027    2.0400
      S05       con_0010       outer      NaN       NaN       NaN    13.2070   -0.0491    0.3310    0.3346   -0.0538    0.3693    0.8480    2.2885
      S05       con_0011       total   0.2000    5.0000  161.0240    59.3960   -0.0231    0.2260    0.2271   -0.0263    0.2473    0.2408    2.1228
      S05       con_0011       inner      NaN       NaN       NaN    46.1890   -0.0233    0.2112    0.2125   -0.0250    0.2315    0.1732    1.8930
      S05       con_0011       outer      NaN       NaN       NaN    13.2070   -0.0226    0.2714    0.2723   -0.0300    0.3102    0.4770    2.1228
      S05       con_0012       total   0.2000    5.0000  161.0240    59.3960   -0.0231    0.2260    0.2271   -0.0263    0.2473    0.2408    2.1228
      S05       con_0012       inner      NaN       NaN       NaN    46.1890   -0.0233    0.2112    0.2125   -0.0250    0.2315    0.1732    1.8930
      S05       con_0012       outer      NaN       NaN       NaN    13.2070   -0.0226    0.2714    0.2723   -0.0300    0.3102    0.4770    2.1228
      S05       con_0013       total   0.2000    5.0000  161.0240    59.3960    0.0128    0.2139    0.2143    0.0075    0.2380    0.1902    1.8066
      S05       con_0013       inner      NaN       NaN       NaN    46.1890    0.0226    0.1966    0.1979    0.0175    0.2217    0.1494    1.4567
      S05       con_0013       outer      NaN       NaN       NaN    13.2070   -0.0214    0.2630    0.2639   -0.0305    0.3059    0.3332    1.8066
      S05       con_0014       total   0.2000    5.0000  161.0240    59.3960    0.0355    0.2800    0.2823    0.0323    0.3103    0.6145    2.5593
      S05       con_0014       inner      NaN       NaN       NaN    46.1890    0.0412    0.2596    0.2629    0.0362    0.3022    0.4915    2.2956
      S05       con_0014       outer      NaN       NaN       NaN    13.2070    0.0156    0.3412    0.3416    0.0148    0.3460    1.0449    2.5593
      S05       con_0015       total   0.2000    5.0000  161.0240    59.3960   -0.0220    0.2588    0.2597   -0.0270    0.2839    0.4159    2.2784
      S05       con_0015       inner      NaN       NaN       NaN    46.1890   -0.0280    0.2352    0.2369   -0.0297    0.2584    0.1451    1.7025
      S05       con_0015       outer      NaN       NaN       NaN    13.2070   -0.0009    0.3274    0.3274   -0.0140    0.3797    1.3629    2.2784
      S05       con_0016       total   0.2000    5.0000  161.0240    59.3960   -0.0231    0.2260    0.2271   -0.0263    0.2473    0.2408    2.1228
      S05       con_0016       inner      NaN       NaN       NaN    46.1890   -0.0233    0.2112    0.2125   -0.0250    0.2315    0.1732    1.8930
      S05       con_0016       outer      NaN       NaN       NaN    13.2070   -0.0226    0.2714    0.2723   -0.0300    0.3102    0.4770    2.1228
      S05       con_0017       total   0.2000    5.0000  161.0240    59.3960   -0.0487    0.4015    0.4044   -0.0323    0.3890    0.6229    5.5786
      S05       con_0017       inner      NaN       NaN       NaN    46.1890   -0.0684    0.3647    0.3711   -0.0501    0.3511    0.2317    3.9924
      S05       con_0017       outer      NaN       NaN       NaN    13.2070    0.0203    0.5035    0.5040    0.0398    0.5150    1.9914    5.5786
      S05       con_0018       total   0.2000    5.0000  161.0240    59.3960    0.0128    0.2139    0.2143    0.0075    0.2380    0.1902    1.8066
      S05       con_0018       inner      NaN       NaN       NaN    46.1890    0.0226    0.1966    0.1979    0.0175    0.2217    0.1494    1.4567
      S05       con_0018       outer      NaN       NaN       NaN    13.2070   -0.0214    0.2630    0.2639   -0.0305    0.3059    0.3332    1.8066
      S05          ResMS       total   0.2000    5.0000  161.0240    59.3960    0.5843    0.2785    0.6473    0.5556    0.3938    8.2935    5.1254
      S05          ResMS       inner      NaN       NaN       NaN    46.1890    0.5362    0.2289    0.5830    0.5127    0.3322    5.0034    2.7890
      S05          ResMS       outer      NaN       NaN       NaN    13.2070    0.7525    0.3595    0.8339    0.7231    0.4895   19.8001    5.1254
      S06       con_0001       total   0.2500    6.0000  158.9131    57.3810    0.0392    0.1777    0.1820    0.0355    0.1971    0.1202    1.6926
      S06       con_0001       inner      NaN       NaN       NaN    43.6860    0.0462    0.1512    0.1581    0.0413    0.1741    0.0755    1.5883
      S06       con_0001       outer      NaN       NaN       NaN    13.6950    0.0169    0.2424    0.2430    0.0121    0.2812    0.2629    1.6926
      S06       con_0002       total   0.2500    6.0000  158.9131    57.3810   -0.0297    0.1649    0.1675   -0.0273    0.1740    0.0383    1.4645
      S06       con_0002       inner      NaN       NaN       NaN    43.6860   -0.0286    0.1479    0.1506   -0.0252    0.1609    0.0114    1.3821
      S06       con_0002       outer      NaN       NaN       NaN    13.6950   -0.0332    0.2100    0.2126   -0.0336    0.2311    0.1241    1.4645
      S06       con_0003       total   0.2500    6.0000  158.9131    57.3810    0.0148    0.1648    0.1655    0.0139    0.1913    0.0139    1.6659
      S06       con_0003       inner      NaN       NaN       NaN    43.6860    0.0092    0.1450    0.1453    0.0091    0.1730    0.0000    1.0308
      S06       con_0003       outer      NaN       NaN       NaN    13.6950    0.0326    0.2153    0.2178    0.0326    0.2556    0.0584    1.6659
      S06       con_0004       total   0.2500    6.0000  158.9131    57.3810   -0.1281    0.3615    0.3835   -0.1256    0.3578    0.7337    2.5185
      S06       con_0004       inner      NaN       NaN       NaN    43.6860   -0.1310    0.3227    0.3483   -0.1256    0.3142    0.4258    2.4423
      S06       con_0004       outer      NaN       NaN       NaN    13.6950   -0.1187    0.4638    0.4788   -0.1201    0.5147    1.7160    2.5185
      S06       con_0005       total   0.2500    6.0000  158.9131    57.3810   -0.1275    0.3451    0.3679   -0.1236    0.3314    0.6169    3.1886
      S06       con_0005       inner      NaN       NaN       NaN    43.6860   -0.1204    0.3098    0.3323   -0.1166    0.2956    0.4967    2.4771
      S06       con_0005       outer      NaN       NaN       NaN    13.6950   -0.1500    0.4386    0.4635   -0.1455    0.4660    1.0004    3.1886
      S06       con_0006       total   0.2500    6.0000  158.9131    57.3810    0.0748    0.3221    0.3307    0.0713    0.3979    0.8661    2.1430
      S06       con_0006       inner      NaN       NaN       NaN    43.6860    0.0581    0.2897    0.2955    0.0534    0.3557    0.5288    2.1430
      S06       con_0006       outer      NaN       NaN       NaN    13.6950    0.1280    0.4040    0.4238    0.1305    0.4742    1.9423    2.0890
      S06       con_0007       total   0.2500    6.0000  158.9131    57.3810    0.1459    0.3012    0.3347    0.1418    0.3631    1.0038    2.2923
      S06       con_0007       inner      NaN       NaN       NaN    43.6860    0.1554    0.2678    0.3096    0.1481    0.3340    0.7256    2.1699
      S06       con_0007       outer      NaN       NaN       NaN    13.6950    0.1158    0.3876    0.4046    0.1155    0.4625    1.8912    2.2923
      S06       con_0008       total   0.2500    6.0000  158.9131    57.3810    0.0765    0.3243    0.3332    0.0745    0.3825    0.9167    2.7377
      S06       con_0008       inner      NaN       NaN       NaN    43.6860    0.0717    0.2922    0.3009    0.0710    0.3483    0.5265    2.4825
      S06       con_0008       outer      NaN       NaN       NaN    13.6950    0.0919    0.4098    0.4200    0.0886    0.4984    2.1614    2.7377
      S06       con_0009       total   0.2500    6.0000  158.9131    57.3810    0.1112    0.2934    0.3137    0.1083    0.3507    0.7302    2.3442
      S06       con_0009       inner      NaN       NaN       NaN    43.6860    0.1135    0.2634    0.2868    0.1100    0.3203    0.4532    2.3183
      S06       con_0009       outer      NaN       NaN       NaN    13.6950    0.1038    0.3731    0.3873    0.1017    0.4520    1.6137    2.3442
      S06       con_0010       total   0.2500    6.0000  158.9131    57.3810   -0.0475    0.3068    0.3105   -0.0464    0.3578    0.2684    2.0394
      S06       con_0010       inner      NaN       NaN       NaN    43.6860   -0.0392    0.2777    0.2805   -0.0390    0.3357    0.0778    2.0200
      S06       con_0010       outer      NaN       NaN       NaN    13.6950   -0.0741    0.3839    0.3910   -0.0737    0.4337    0.8762    2.0394
      S06       con_0011       total   0.2500    6.0000  158.9131    57.3810    0.0101    0.2760    0.2762    0.0101    0.3221    0.2161    2.6298
      S06       con_0011       inner      NaN       NaN       NaN    43.6860    0.0004    0.2452    0.2452    0.0006    0.2957    0.0939    2.1210
      S06       con_0011       outer      NaN       NaN       NaN    13.6950    0.0408    0.3552    0.3575    0.0451    0.4182    0.6061    2.6298
      S06       con_0012       total   0.2500    6.0000  158.9131    57.3810    0.0101    0.2760    0.2762    0.0101    0.3221    0.2161    2.6298
      S06       con_0012       inner      NaN       NaN       NaN    43.6860    0.0004    0.2452    0.2452    0.0006    0.2957    0.0939    2.1210
      S06       con_0012       outer      NaN       NaN       NaN    13.6950    0.0408    0.3552    0.3575    0.0451    0.4182    0.6061    2.6298
      S06       con_0013       total   0.2500    6.0000  158.9131    57.3810   -0.0866    0.3079    0.3198   -0.0842    0.3539    0.1778    2.3910
      S06       con_0013       inner      NaN       NaN       NaN    43.6860   -0.0833    0.2816    0.2936   -0.0818    0.3315    0.0801    2.1222
      S06       con_0013       outer      NaN       NaN       NaN    13.6950   -0.0970    0.3796    0.3918   -0.0935    0.4395    0.4892    2.3910
      S06       con_0014       total   0.2500    6.0000  158.9131    57.3810    0.0244    0.3316    0.3325    0.0151    0.3814    1.0805    3.9020
      S06       con_0014       inner      NaN       NaN       NaN    43.6860    0.0058    0.2906    0.2906    0.0008    0.3470    0.5105    3.6601
      S06       con_0014       outer      NaN       NaN       NaN    13.6950    0.0837    0.4322    0.4402    0.0701    0.5150    2.8989    3.9020
      S06       con_0015       total   0.2500    6.0000  158.9131    57.3810    0.0711    0.2496    0.2596    0.0674    0.2942    0.3276    3.0094
      S06       con_0015       inner      NaN       NaN       NaN    43.6860    0.0849    0.2166    0.2327    0.0793    0.2765    0.1167    1.6965
      S06       con_0015       outer      NaN       NaN       NaN    13.6950    0.0271    0.3300    0.3311    0.0235    0.3648    1.0004    3.0094
      S06       con_0016       total   0.2500    6.0000  158.9131    57.3810    0.0101    0.2760    0.2762    0.0101    0.3221    0.2161    2.6298
      S06       con_0016       inner      NaN       NaN       NaN    43.6860    0.0004    0.2452    0.2452    0.0006    0.2957    0.0939    2.1210
      S06       con_0016       outer      NaN       NaN       NaN    13.6950    0.0408    0.3552    0.3575    0.0451    0.4182    0.6061    2.6298
      S06       con_0017       total   0.2500    6.0000  158.9131    57.3810    0.2026    0.6439    0.6750    0.1957    0.7800    9.5188    4.6027
      S06       con_0017       inner      NaN       NaN       NaN    43.6860    0.1838    0.5820    0.6103    0.1743    0.7063    7.7645    4.6027
      S06       con_0017       outer      NaN       NaN       NaN    13.6950    0.2624    0.8074    0.8490    0.2631    0.9522   15.1150    4.2981
      S06       con_0018       total   0.2500    6.0000  158.9131    57.3810   -0.0866    0.3079    0.3198   -0.0842    0.3539    0.1778    2.3910
      S06       con_0018       inner      NaN       NaN       NaN    43.6860   -0.0833    0.2816    0.2936   -0.0818    0.3315    0.0801    2.1222
      S06       con_0018       outer      NaN       NaN       NaN    13.6950   -0.0970    0.3796    0.3918   -0.0935    0.4395    0.4892    2.3910
      S06          ResMS       total   0.2500    6.0000  158.9131    57.3810    0.8599    0.3997    0.9483    0.8171    0.5489   25.3725    6.2689
      S06          ResMS       inner      NaN       NaN       NaN    43.6860    0.7571    0.2740    0.8052    0.7314    0.3618   14.7805    5.5995
      S06          ResMS       outer      NaN       NaN       NaN    13.6950    1.1879    0.5373    1.3037    1.1486    0.7158   59.1603    6.2689
      S07       con_0001       total   0.2100    5.0000  166.3847    48.5970    0.0149    0.1230    0.1239    0.0138    0.1332    0.0309    1.4730
      S07       con_0001       inner      NaN       NaN       NaN    37.2870    0.0175    0.1069    0.1083    0.0173    0.1198    0.0000    0.8938
      S07       con_0001       outer      NaN       NaN       NaN    11.3100    0.0061    0.1650    0.1652    0.0014    0.1874    0.1326    1.4730
      S07       con_0002       total   0.2100    5.0000  166.3847    48.5970    0.0086    0.1475    0.1478    0.0095    0.1645    0.0062    1.1239
      S07       con_0002       inner      NaN       NaN       NaN    37.2870    0.0153    0.1245    0.1254    0.0156    0.1455    0.0000    0.9364
      S07       con_0002       outer      NaN       NaN       NaN    11.3100   -0.0134    0.2043    0.2048   -0.0131    0.2457    0.0265    1.1239
      S07       con_0003       total   0.2100    5.0000  166.3847    48.5970   -0.0291    0.1120    0.1157   -0.0273    0.1253    0.0000    1.0386
      S07       con_0003       inner      NaN       NaN       NaN    37.2870   -0.0297    0.1031    0.1072   -0.0273    0.1111    0.0000    0.8714
      S07       con_0003       outer      NaN       NaN       NaN    11.3100   -0.0271    0.1375    0.1402   -0.0260    0.1704    0.0000    1.0386
      S07       con_0004       total   0.2100    5.0000  166.3847    48.5970   -0.0462    0.2412    0.2456   -0.0437    0.2769    0.0494    1.8011
      S07       con_0004       inner      NaN       NaN       NaN    37.2870   -0.0431    0.2159    0.2201   -0.0412    0.2488    0.0107    1.3998
      S07       con_0004       outer      NaN       NaN       NaN    11.3100   -0.0563    0.3103    0.3153   -0.0530    0.3704    0.1768    1.8011
      S07       con_0005       total   0.2100    5.0000  166.3847    48.5970   -0.0106    0.2355    0.2357   -0.0114    0.2801    0.0803    1.8634
      S07       con_0005       inner      NaN       NaN       NaN    37.2870   -0.0150    0.2037    0.2042   -0.0161    0.2455    0.0134    1.2741
      S07       con_0005       outer      NaN       NaN       NaN    11.3100    0.0037    0.3182    0.3182    0.0063    0.3900    0.3006    1.8634
      S07       con_0006       total   0.2100    5.0000  166.3847    48.5970    0.0653    0.2267    0.2359    0.0586    0.2758    0.3663    1.8509
      S07       con_0006       inner      NaN       NaN       NaN    37.2870    0.0593    0.1965    0.2053    0.0543    0.2506    0.0885    1.7995
      S07       con_0006       outer      NaN       NaN       NaN    11.3100    0.0848    0.3051    0.3166    0.0748    0.3653    1.2821    1.8509
      S07       con_0007       total   0.2100    5.0000  166.3847    48.5970    0.0610    0.2389    0.2466    0.0589    0.2764    0.2654    2.0155
      S07       con_0007       inner      NaN       NaN       NaN    37.2870    0.0606    0.2047    0.2135    0.0589    0.2457    0.0536    1.3475
      S07       con_0007       outer      NaN       NaN       NaN    11.3100    0.0624    0.3273    0.3332    0.0587    0.3850    0.9637    2.0155
      S07       con_0008       total   0.2100    5.0000  166.3847    48.5970    0.0193    0.2744    0.2751    0.0215    0.2853    0.3272    2.1461
      S07       con_0008       inner      NaN       NaN       NaN    37.2870    0.0303    0.2295    0.2314    0.0327    0.2532    0.1073    1.6840
      S07       con_0008       outer      NaN       NaN       NaN    11.3100   -0.0171    0.3850    0.3853   -0.0181    0.4353    1.0522    2.1461
      S07       con_0009       total   0.2100    5.0000  166.3847    48.5970    0.0401    0.2412    0.2445    0.0406    0.2597    0.2408    1.9436
      S07       con_0009       inner      NaN       NaN       NaN    37.2870    0.0455    0.2039    0.2089    0.0462    0.2316    0.0670    1.5157
      S07       con_0009       outer      NaN       NaN       NaN    11.3100    0.0226    0.3353    0.3361    0.0203    0.3796    0.8134    1.9436
      S07       con_0010       total   0.2100    5.0000  166.3847    48.5970   -0.0944    0.2114    0.2315   -0.0851    0.2008    0.0021    2.0043
      S07       con_0010       inner      NaN       NaN       NaN    37.2870   -0.0890    0.1767    0.1979   -0.0812    0.1796    0.0000    1.6400
      S07       con_0010       outer      NaN       NaN       NaN    11.3100   -0.1119    0.2977    0.3181   -0.1004    0.2954    0.0088    2.0043
      S07       con_0011       total   0.2100    5.0000  166.3847    48.5970   -0.0408    0.2137    0.2175   -0.0393    0.2433    0.0082    1.5903
      S07       con_0011       inner      NaN       NaN       NaN    37.2870   -0.0461    0.1915    0.1970   -0.0437    0.2154    0.0000    1.4492
      S07       con_0011       outer      NaN       NaN       NaN    11.3100   -0.0234    0.2735    0.2746   -0.0222    0.3295    0.0354    1.5903
      S07       con_0012       total   0.2100    5.0000  166.3847    48.5970   -0.0408    0.2137    0.2175   -0.0393    0.2433    0.0082    1.5903
      S07       con_0012       inner      NaN       NaN       NaN    37.2870   -0.0461    0.1915    0.1970   -0.0437    0.2154    0.0000    1.4492
      S07       con_0012       outer      NaN       NaN       NaN    11.3100   -0.0234    0.2735    0.2746   -0.0222    0.3295    0.0354    1.5903
      S07       con_0013       total   0.2100    5.0000  166.3847    48.5970   -0.0672    0.2124    0.2228   -0.0621    0.2207    0.0144    1.7266
      S07       con_0013       inner      NaN       NaN       NaN    37.2870   -0.0672    0.1793    0.1915   -0.0630    0.1959    0.0000    1.4804
      S07       con_0013       outer      NaN       NaN       NaN    11.3100   -0.0673    0.2965    0.3040   -0.0588    0.3204    0.0619    1.7266
      S07       con_0014       total   0.2100    5.0000  166.3847    48.5970    0.0320    0.3699    0.3713    0.0211    0.4388    1.7553    3.3717
      S07       con_0014       inner      NaN       NaN       NaN    37.2870    0.0263    0.2961    0.2973    0.0179    0.3620    0.7134    2.2229
      S07       con_0014       outer      NaN       NaN       NaN    11.3100    0.0512    0.5464    0.5488    0.0353    0.7102    5.1901    3.3717
      S07       con_0015       total   0.2100    5.0000  166.3847    48.5970   -0.0137    0.3544    0.3546    0.0018    0.3637    0.2387    2.6111
      S07       con_0015       inner      NaN       NaN       NaN    37.2870   -0.0007    0.2988    0.2988    0.0089    0.3222    0.1260    2.3167
      S07       con_0015       outer      NaN       NaN       NaN    11.3100   -0.0566    0.4928    0.4961   -0.0339    0.5052    0.6101    2.6111
      S07       con_0016       total   0.2100    5.0000  166.3847    48.5970   -0.0408    0.2137    0.2175   -0.0393    0.2433    0.0082    1.5903
      S07       con_0016       inner      NaN       NaN       NaN    37.2870   -0.0461    0.1915    0.1970   -0.0437    0.2154    0.0000    1.4492
      S07       con_0016       outer      NaN       NaN       NaN    11.3100   -0.0234    0.2735    0.2746   -0.0222    0.3295    0.0354    1.5903
      S07       con_0017       total   0.2100    5.0000  166.3847    48.5970    0.0936    0.4361    0.4460    0.0859    0.5256    2.9055    3.2122
      S07       con_0017       inner      NaN       NaN       NaN    37.2870    0.0884    0.3848    0.3948    0.0827    0.4753    1.9471    2.7543
      S07       con_0017       outer      NaN       NaN       NaN    11.3100    0.1111    0.5732    0.5838    0.0976    0.6933    6.0654    3.2122
      S07       con_0018       total   0.2100    5.0000  166.3847    48.5970   -0.0672    0.2124    0.2228   -0.0621    0.2207    0.0144    1.7266
      S07       con_0018       inner      NaN       NaN       NaN    37.2870   -0.0672    0.1793    0.1915   -0.0630    0.1959    0.0000    1.4804
      S07       con_0018       outer      NaN       NaN       NaN    11.3100   -0.0673    0.2965    0.3040   -0.0588    0.3204    0.0619    1.7266
      S07          ResMS       total   0.2100    5.0000  166.3847    48.5970    0.6786    0.2993    0.7416    0.6488    0.4392   13.3671    2.9705
      S07          ResMS       inner      NaN       NaN       NaN    37.2870    0.5964    0.2110    0.6326    0.5771    0.2981    5.0715    2.8603
      S07          ResMS       outer      NaN       NaN       NaN    11.3100    0.9494    0.3776    1.0218    0.9292    0.5141   40.7162    2.9705
      S08       con_0001       total   0.1800    5.0000  157.2655    57.7840   -0.0020    0.1117    0.1118   -0.0047    0.1215    0.0000    1.2574
      S08       con_0001       inner      NaN       NaN       NaN    43.2270   -0.0073    0.1021    0.1024   -0.0087    0.1085    0.0000    0.9576
      S08       con_0001       outer      NaN       NaN       NaN    14.5570    0.0136    0.1352    0.1359    0.0090    0.1607    0.0000    1.2574
      S08       con_0002       total   0.1800    5.0000  157.2655    57.7840   -0.0081    0.0934    0.0937   -0.0091    0.0996    0.0000    0.8957
      S08       con_0002       inner      NaN       NaN       NaN    43.2270   -0.0117    0.0848    0.0857   -0.0117    0.0908    0.0000    0.8957
      S08       con_0002       outer      NaN       NaN       NaN    14.5570    0.0026    0.1144    0.1144    0.0000    0.1281    0.0000    0.8589
      S08       con_0003       total   0.1800    5.0000  157.2655    57.7840    0.0185    0.1078    0.1093    0.0174    0.1171    0.0260    2.0464
      S08       con_0003       inner      NaN       NaN       NaN    43.2270    0.0241    0.0965    0.0995    0.0216    0.1140    0.0000    0.7708
      S08       con_0003       outer      NaN       NaN       NaN    14.5570    0.0021    0.1344    0.1344    0.0031    0.1279    0.1030    2.0464
      S08       con_0004       total   0.1800    5.0000  157.2655    57.7840   -0.0543    0.2177    0.2244   -0.0474    0.1985    0.0658    2.2230
      S08       con_0004       inner      NaN       NaN       NaN    43.2270   -0.0471    0.1973    0.2028   -0.0418    0.1853    0.0231    1.8961
      S08       con_0004       outer      NaN       NaN       NaN    14.5570   -0.0757    0.2683    0.2788   -0.0656    0.2430    0.1923    2.2230
      S08       con_0005       total   0.1800    5.0000  157.2655    57.7840   -0.0349    0.2074    0.2103   -0.0303    0.2052    0.0848    2.4233
      S08       con_0005       inner      NaN       NaN       NaN    43.2270   -0.0274    0.1838    0.1858   -0.0256    0.1939    0.0463    1.4966
      S08       con_0005       outer      NaN       NaN       NaN    14.5570   -0.0570    0.2641    0.2702   -0.0478    0.2397    0.1992    2.4233
      S08       con_0006       total   0.1800    5.0000  157.2655    57.7840    0.0406    0.1995    0.2036    0.0341    0.2278    0.2007    2.8451
      S08       con_0006       inner      NaN       NaN       NaN    43.2270    0.0318    0.1747    0.1775    0.0275    0.2009    0.0578    1.4368
      S08       con_0006       outer      NaN       NaN       NaN    14.5570    0.0666    0.2580    0.2664    0.0573    0.2992    0.6251    2.8451
      S08       con_0007       total   0.1800    5.0000  157.2655    57.7840    0.0305    0.1447    0.1479    0.0242    0.1555    0.0917    2.0849
      S08       con_0007       inner      NaN       NaN       NaN    43.2270    0.0209    0.1262    0.1279    0.0164    0.1412    0.0370    1.4721
      S08       con_0007       outer      NaN       NaN       NaN    14.5570    0.0590    0.1865    0.1956    0.0505    0.2031    0.2542    2.0849
      S08       con_0008       total   0.1800    5.0000  157.2655    57.7840    0.0128    0.1380    0.1386    0.0098    0.1471    0.0363    1.9016
      S08       con_0008       inner      NaN       NaN       NaN    43.2270    0.0047    0.1214    0.1215    0.0038    0.1324    0.0069    1.0410
      S08       con_0008       outer      NaN       NaN       NaN    14.5570    0.0369    0.1763    0.1801    0.0303    0.1925    0.1237    1.9016
